Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Ikhambi,Terra Cogita,Osamodas,977,27,24,200.0,52.94,996
Break-Cs,Brutas,Anutrof,987,12,5,200.0,70.59,992
Donbrabus,Herdegrize,Sacrogrito,1020,9,1,200.0,90.0,992
Kazzya,Terra Cogita,Pandawa,1030,17,13,200.0,56.67,991
Percutant,Oshimo,Sacrogrito,1115,8,8,200.0,50.0,989
Elucia,Terra Cogita,Tymador,1011,15,13,200.0,53.57,989
Lekush,Oshimo,Sacrogrito,1054,8,3,200.0,72.73,985
Easylife-ll,Terra Cogita,Pandawa,1058,17,17,200.0,50.0,985
Elhueleperico,Brutas,Aniripsa,1016,25,21,200.0,54.35,984
Eca-stration,Oshimo,Zurcarak,1059,9,9,200.0,50.0,983
Escupa,Brutas,Pandawa,1006,10,2,200.0,83.33,981
Ka-rtier,Oshimo,Zobal,1005,58,68,200.0,46.03,979
Ls-Kaal,Herdegrize,Sram,1075,32,31,200.0,50.79,979
Soul-anut,Brutas,Anutrof,1034,18,28,200.0,39.13,978
Eni-xnoirr,Herdegrize,Aniripsa,1072,8,2,200.0,80.0,977
Zolarioo,Herdegrize,Ocra,928,23,31,200.0,42.59,977
Mumma,Oshimo,Anutrof,1030,20,21,200.0,48.78,977
Froxer,Brutas,Ocra,944,14,7,200.0,66.67,977
Incia,Brutas,Sram,1032,16,16,200.0,50.0,977
Jimblazerr,Herdegrize,Zurcarak,973,40,40,200.0,50.0,977
Empujonsitos,Brutas,Zobal,936,33,31,200.0,51.56,975
Noxi-Milien,Oshimo,Xelor,934,21,15,200.0,58.33,975
Raw-bless,Brutas,Yopuka,902,45,47,200.0,48.91,975
Puce-sceau,Oshimo,Tymador,922,18,11,200.0,62.07,975
Matokii,Oshimo,Ocra,862,51,55,200.0,48.11,975
Sacro-Desangre,Brutas,Sacrogrito,911,18,11,200.0,62.07,975
Cett,Herdegrize,Steamer,932,27,23,200.0,54.0,975
Wailet,Oshimo,Aniripsa,869,15,7,200.0,68.18,975
Mioursmigale,Terra Cogita,Sram,902,33,31,200.0,51.56,975
Keplerx,Brutas,Sadida,962,42,43,200.0,49.41,975
Darck-daniel,Brutas,Yopuka,862,45,47,200.0,48.91,975
Ebratt,Brutas,Pandawa,864,18,11,200.0,62.07,975
Morbito,Brutas,Anutrof,890,36,35,200.0,50.7,975
Rey-stad,Brutas,Tymador,915,60,67,200.0,47.24,975
Drekth,Brutas,Sram,940,27,23,200.0,54.0,975
Sealz,Brutas,Tymador,868,24,19,200.0,55.81,975
Roy-goode,Brutas,Zurcarak,903,18,11,200.0,62.07,975
Zahyka,Herdegrize,Feca,978,27,23,200.0,54.0,975
Mugiwarra-Luffy,Herdegrize,Sram,940,54,59,200.0,47.79,975
Warlih,Herdegrize,Zurcarak,1000,33,31,200.0,51.56,975
Hiroshima-l,Brutas,Tymador,852,12,3,200.0,80.0,975
Masca-Rab,Terra Cogita,Zobal,933,12,3,200.0,80.0,975
Xle-fou,Terra Cogita,Yopuka,889,24,19,200.0,55.81,975
Chota,Grandapan,Sram,898,12,3,200.0,80.0,975
Por-noobs,Terra Cogita,Sram,872,12,3,200.0,80.0,975
Protectium,Oshimo,Feca,966,30,27,200.0,52.63,975
Ldpipo,Brutas,Yopuka,853,27,23,200.0,54.0,975
Misslili,Brutas,Aniripsa,995,12,3,200.0,80.0,975
Psychola,Dodge,Yopuka,1028,24,30,200.0,44.44,975
Rozorken,Oshimo,Pandawa,1022,10,4,200.0,71.43,973
Karlfazer,Dodge,Ocra,977,8,2,200.0,80.0,971
Yaddmato,Brutas,Xelor,1055,13,9,200.0,59.09,969
The-Powereni,Brutas,Aniripsa,1130,10,11,200.0,47.62,969
Mul-Ito,Oshimo,Sadida,1031,25,28,200.0,47.17,968
Infinite-Darkne,Brutas,Sram,964,26,22,200.0,54.17,962
Leayah,Grandapan,Aniripsa,996,13,5,200.0,72.22,957
Poison-Girl,Brutas,Sram,973,21,16,200.0,56.76,956
Seijitsu,Oshimo,Zurcarak,1054,23,32,200.0,41.82,955
Scoyahx,Oshimo,Sram,1016,8,2,200.0,80.0,955
Lucyfer-ocrra,Brutas,Ocra,924,26,22,200.0,54.17,953
Asphalt-pirate,Dodge,Tymador,927,10,1,200.0,90.91,952
Doolittle,Brutas,Pandawa,852,35,34,200.0,50.72,950
Maskapush,Herdegrize,Zobal,904,14,6,200.0,70.0,950
Will-Eca,Oshimo,Zurcarak,898,11,2,200.0,84.62,950
Phyrozelt,Herdegrize,Zurcarak,881,38,38,200.0,50.0,950
Utozil,Herdegrize,Yopuka,897,20,14,200.0,58.82,950
Bonisseurdelaba,Oshimo,Pandawa,935,14,6,200.0,70.0,950
Coronavarias,Brutas,Ocra,898,26,22,200.0,54.17,950
Reencarnacion-t,Brutas,Ocra,881,26,22,200.0,54.17,950
Izyldur,Terra Cogita,Yopuka,897,23,18,200.0,56.1,950
Loknas,Oshimo,Yopuka,938,20,14,200.0,58.82,950
Nanuuk,Brutas,Yopuka,941,47,50,200.0,48.45,950
Gran-Brerserke,Brutas,Yopuka,876,41,42,200.0,49.4,950
Kryptock,Terra Cogita,Xelor,929,20,14,200.0,58.82,950
Polvo-magico,Brutas,Pandawa,886,68,78,200.0,46.58,950
Rubilacxe,Herdegrize,Yopuka,917,29,26,200.0,52.73,950
Parle-mouapa,Oshimo,Zobal,1014,16,12,200.0,57.14,949
Arcopin,Brutas,Ocra,970,18,15,200.0,54.55,948
Primordiial,Terra Cogita,Pandawa,1048,12,10,200.0,54.55,947
Zayter,Brutas,Anutrof,937,68,79,200.0,46.26,947
Ori-jhin,Terra Cogita,Feca,1045,10,5,200.0,66.67,946
Col-Duff,Brutas,Pandawa,1049,23,22,200.0,51.11,943
